genename,Tot.var,at_least_1patho,Tot.mis.var,Frac.P,Frac.LP,Frac.P.LP,Frac.B,Frac.LB,Frac.B.LB,Frac.VUS,Frac.conflict,Len.of.Protein,cancer.gene,Norm.tot.mis.var,Ps_cnt,Ps_IR_cnt,Ps_b_cnt,Ps_p_cnt,p.ir,p.b,p.p,Bs_cnt,Bs_IR_cnt,Bs_b_cnt,Bs_p_cnt,b.ir,b.b,b.p,VUS_cnt,VUS_IR_cnt,VUS_b_cnt,VUS_p_cnt,vus.ir,vus.b,vus.p,gnomad_var,gnomad_revel,gnomad_revel_IR,gnomad_IR_frac,gnomad_mis,gnomad_mis_revel,gnomad_mis_revel_IR,gnomad_mis_revel_IR_frac
ARRDC4,4,N,2,0,0,0,1,0,0,0,0,493,N,0.004056795,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,542,185,45,0.243243243,185,185,45,0.243243243
ARSA,530,Y,188,0.164893617,0.106382979,0.079787234,0.015957447,0.037234043,0.005319149,0.329787234,0.090425532,509,N,0.36935167,64,7,0,57,0.109375,0,0.890625,11,6,3,2,0.545454545,0.272727273,0.181818182,61,18,17,26,0.295081967,0.278688525,0.426229508,745,303,114,0.376237624,303,303,114,0.376237624
ARSB,533,Y,167,0.035928144,0.191616766,0.065868263,0.017964072,0.017964072,0.005988024,0.586826347,0.077844311,533,N,0.313320826,49,1,0,48,0.020408163,0,0.979591837,7,3,2,2,0.428571429,0.285714286,0.285714286,98,16,11,71,0.163265306,0.112244898,0.724489796,633,263,81,0.307984791,259,259,80,0.308880309
ARSD,7,N,3,0,0,0,1,0,0,0,0,593,N,0.005059022,0,0,0,0,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,593,230,87,0.37826087,45,45,17,0.377777778
ARSF,3,N,0,0,0,0,0,0,0,0,0,590,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650,266,123,0.462406015,266,266,123,0.462406015
ARSG,125,Y,62,0.048387097,0,0,0.112903226,0.064516129,0,0.774193548,0,525,N,0.118095238,3,0,0,3,0,0,1,10,0,10,0,0,1,0,47,16,21,10,0.340425532,0.446808511,0.212765957,718,248,66,0.266129032,236,236,66,0.279661017
ARSH,4,N,4,0,0,0,1,0,0,0,0,627,N,0.006379585,0,0,0,0,0,0,0,4,2,1,1,0.5,0.25,0.25,0,0,0,0,0,0,0,524,230,110,0.47826087,229,229,110,0.480349345
ARSI,68,N,34,0,0,0,0.029411765,0.058823529,0,0.911764706,0,569,N,0.059753954,0,0,0,0,0,0,0,3,3,0,0,1,0,0,31,7,3,21,0.225806452,0.096774194,0.677419355,589,340,109,0.320588235,340,340,109,0.320588235
ARSJ,1,N,1,0,0,0,0,1,0,0,0,656,N,0.00152439,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,519,252,95,0.376984127,241,241,95,0.394190871
ARSK,1,N,0,0,0,0,0,0,0,0,0,536,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,591,269,108,0.401486989,269,269,108,0.401486989
ARSL,159,Y,60,0.15,0.083333333,0,0.233333333,0.033333333,0.016666667,0.4,0.083333333,NA,N,NA,14,4,0,10,0.285714286,0,0.714285714,17,7,8,2,0.411764706,0.470588235,0.117647059,24,6,6,12,0.25,0.25,0.5,NA,NA,NA,NA,NA,NA,NA,NA
ART1,2,N,0,0,0,0,0,0,0,0,0,397,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1168,90,24,0.266666667,236,236,56,0.237288136
ART3,2,N,1,0,0,0,1,0,0,0,0,389,N,0.002570694,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,597,176,28,0.159090909,167,167,28,0.167664671
ART4,5,N,1,0,0,0,0,0,0,0,0,NA,N,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,282,31,0.109929078,174,174,33,0.189655172
ART5,2,N,2,0,0,0,1,0,0,0,0,291,N,0.006872852,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,330,24,0,0,140,140,35,0.25
ARV1,19,Y,8,0,0,0.125,0.125,0.125,0.25,0.375,0,271,N,0.029520295,1,0,0,1,0,0,1,6,3,3,0,0.5,0.5,0,3,1,1,1,0.333333333,0.333333333,0.333333333,417,235,53,0.225531915,142,142,44,0.309859155
ARVCF,75,N,16,0,0,0,0.5625,0.3125,0.0625,0.0625,0,962,N,0.016632017,0,0,0,0,0,0,0,15,1,14,0,0.066666667,0.933333333,0,1,0,1,0,0,1,0,1001,453,143,0.315673289,452,452,142,0.314159292
ARX,369,Y,141,0.063829787,0.056737589,0,0.021276596,0.120567376,0.007092199,0.645390071,0.085106383,627,N,0.224880383,17,0,0,17,0,0,1,21,5,16,0,0.238095238,0.761904762,0,90,29,41,20,0.322222222,0.455555556,0.222222222,265,83,36,0.43373494,83,83,36,0.43373494
AS3MT,1,N,0,0,0,0,0,0,0,0,0,375,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASAH1,314,Y,89,0.146067416,0.179775281,0.056179775,0.078651685,0.04494382,0,0.426966292,0.06741573,395,N,0.225316456,34,6,2,26,0.176470588,0.058823529,0.764705882,11,0,11,0,0,1,0,38,11,18,9,0.289473684,0.473684211,0.236842105,1130,351,94,0.267806268,301,301,88,0.292358804
ASAP1,2,N,0,0,0,0,0,0,0,0,0,1129,N,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1603,599,118,0.196994992,377,377,92,0.24403183
ASAP2,5,N,1,0,0,0,1,0,0,0,0,1006,N,0.000994036,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1307,386,96,0.248704663,386,386,96,0.248704663
ASAP3,4,N,2,0,0,0,0.5,0.5,0,0,0,903,N,0.002214839,0,0,0,0,0,0,0,2,1,1,0,0.5,0.5,0,0,0,0,0,0,0,0,1486,463,77,0.166306695,443,443,74,0.167042889
ASB10,61,Y,28,0,0,0,0.392857143,0.107142857,0,0.035714286,0,467,N,0.059957173,0,0,0,0,0,0,0,14,3,11,0,0.214285714,0.785714286,0,1,1,0,0,1,0,0,776,403,103,0.255583127,311,311,92,0.295819936
ASB11,5,N,3,0,0,0,0.666666667,0,0,0.333333333,0,323,N,0.009287926,0,0,0,0,0,0,0,2,1,1,0,0.5,0.5,0,1,0,0,1,0,0,1,312,119,32,0.268907563,119,119,32,0.268907563
ASB16,1,N,1,0,0,0,0,0,0,1,0,453,N,0.002207506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,661,349,87,0.249283668,298,298,83,0.27852349
ASB18,3,N,3,0,0,0,0,0,0,1,0,466,N,0.006437768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0.333333333,0.333333333,0.333333333,500,202,23,0.113861386,175,175,23,0.131428571
ASB7,4,N,0,0,0,0,0,0,0,0,0,318,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,64,21,0.328125,64,64,21,0.328125
ASB9,1,N,1,0,0,0,0,1,0,0,0,294,N,0.003401361,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,266,85,22,0.258823529,67,67,14,0.208955224
ASCC1,44,Y,9,0,0,0,0.444444444,0.333333333,0.111111111,0,0.111111111,400,N,0.0225,4,1,3,0,0.25,0.75,0,14,0,14,0,0,1,0,0,0,0,0,0,0,0,835,243,40,0.164609053,139,139,31,0.223021583
ASCC3,18,N,7,0,0,0,0.428571429,0.285714286,0,0.285714286,0,2202,N,0.003178928,0,0,0,0,0,0,0,5,1,4,0,0.2,0.8,0,2,0,2,0,0,1,0,2604,973,267,0.274409044,408,406,117,0.28817734
ASCL1,16,Y,1,1,0,0,0,0,0,0,0,297,N,0.003367003,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,71,25,0.352112676,76,76,26,0.342105263
ASGR2,2,N,0,0,0,0,0,0,0,0,0,311,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592,196,12,0.06122449,159,159,10,0.062893082
ASH1L,92,Y,54,0.037037037,0,0,0.111111111,0.12962963,0,0.722222222,0,2969,N,0.018187942,2,1,0,1,0.5,0,0.5,13,8,5,0,0.615384615,0.384615385,0,39,28,8,3,0.717948718,0.205128205,0.076923077,3368,1188,730,0.614478114,1186,1186,730,0.615514334
ASH2L,1,Y,1,0,1,0,0,0,0,0,0,628,N,0.001592357,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827,278,72,0.258992806,134,134,53,0.395522388
ASIC1,6,N,1,0,0,0,1,0,0,0,0,528,N,0.001893939,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,1138,397,107,0.269521411,208,208,65,0.3125
ASIC2,2,N,0,0,0,0,0,0,0,0,0,512,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,781,292,77,0.26369863,292,292,77,0.26369863
ASIC3,4,N,2,0,0,0,1,0,0,0,0,531,N,0.003766478,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,1041,300,65,0.216666667,196,196,45,0.229591837
ASIC4,7,N,2,0,0,0,0.5,0.5,0,0,0,647,N,0.00309119,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,643,263,65,0.247148289,257,257,62,0.241245136
ASIC5,1,Y,1,1,0,0,0,0,0,0,0,576,N,0.001736111,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,152,39,0.256578947,152,152,39,0.256578947
ASL,352,Y,91,0.142857143,0.098901099,0.087912088,0.010989011,0.043956044,0.010989011,0.43956044,0.164835165,464,N,0.19612069,31,4,1,26,0.129032258,0.032258065,0.838709677,39,9,29,1,0.230769231,0.743589744,0.025641026,42,11,7,24,0.261904762,0.166666667,0.571428571,919,297,104,0.35016835,249,249,96,0.385542169
ASMT,2,N,1,0,0,0,0,1,0,0,0,345,N,0.002898551,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,802,293,29,0.098976109,265,265,28,0.105660377
ASNS,209,Y,51,0.098039216,0.274509804,0.058823529,0.019607843,0.019607843,0.019607843,0.450980392,0.058823529,561,N,0.090909091,22,11,6,5,0.5,0.272727273,0.227272727,3,0,3,0,0,1,0,23,7,12,4,0.304347826,0.52173913,0.173913043,629,223,74,0.331838565,223,223,74,0.331838565
ASPA,146,Y,47,0.106382979,0.170212766,0.212765957,0.021276596,0.085106383,0.021276596,0.255319149,0.127659574,313,N,0.150159744,23,0,0,23,0,0,1,6,2,3,1,0.333333333,0.5,0.166666667,12,2,1,9,0.166666667,0.083333333,0.75,364,156,46,0.294871795,155,155,46,0.296774194
ASPG,3,N,1,0,0,0,0,1,0,0,0,573,N,0.001745201,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,977,402,64,0.15920398,315,315,62,0.196825397
ASPH,82,Y,7,0.142857143,0,0,0.142857143,0.428571429,0,0.285714286,0,758,N,0.009234828,1,0,0,1,0,0,1,4,1,3,0,0.25,0.75,0,2,1,0,1,0.5,0,0.5,1542,481,126,0.261954262,364,364,100,0.274725275
ASPM,833,Y,327,0.003058104,0.006116208,0,0.06116208,0.155963303,0.042813456,0.577981651,0.152905199,3477,N,0.094046592,3,1,1,1,0.333333333,0.333333333,0.333333333,85,16,68,1,0.188235294,0.8,0.011764706,188,48,129,11,0.255319149,0.686170213,0.058510638,3638,1883,467,0.248008497,1007,1007,209,0.20754717
ASPRV1,3,Y,3,1,0,0,0,0,0,0,0,415,N,0.007228916,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,195,14,0.071794872,195,195,14,0.071794872
ASRGL1,92,N,46,0,0,0,0.02173913,0.065217391,0,0.913043478,0,308,N,0.149350649,0,0,0,0,0,0,0,4,2,1,1,0.5,0.25,0.25,42,15,20,7,0.357142857,0.476190476,0.166666667,460,22,7,0.318181818,178,178,63,0.353932584
ASS1,392,Y,113,0.115044248,0.053097345,0.115044248,0,0.03539823,0.008849558,0.539823009,0.132743363,412,N,0.274271845,32,0,0,32,0,0,1,5,4,0,1,0.8,0,0.2,61,10,2,49,0.163934426,0.032786885,0.803278689,936,222,65,0.292792793,213,213,63,0.295774648
ASTL,3,N,1,0,0,0,1,0,0,0,0,505,N,0.001980198,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,632,254,36,0.141732283,254,254,36,0.141732283
ASTN1,5,Y,4,0,0.25,0,0,0,0,0.5,0,1302,N,0.003072197,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1660,659,209,0.317147193,217,217,47,0.216589862
ASTN2,366,Y,176,0.017045455,0,0,0.017045455,0.028409091,0,0.909090909,0.028409091,1339,N,0.131441374,3,1,1,1,0.333333333,0.333333333,0.333333333,8,1,7,0,0.125,0.875,0,160,61,68,31,0.38125,0.425,0.19375,2385,1044,313,0.299808429,679,679,171,0.251840943
ASXL1,251,Y,88,0,0.022727273,0,0.284090909,0.261363636,0.159090909,0.136363636,0.034090909,1541,Y,0.057105775,2,0,2,0,0,1,0,64,2,62,0,0.03125,0.96875,0,12,1,11,0,0.083333333,0.916666667,0,1687,832,50,0.060096154,808,808,49,0.060643564
ASXL2,78,Y,30,0,0.033333333,0,0.3,0.333333333,0.033333333,0.3,0,1435,N,0.020905923,1,0,0,1,0,0,1,20,0,20,0,0,1,0,9,2,7,0,0.222222222,0.777777778,0,1297,616,34,0.055194805,412,412,25,0.060679612
ASXL3,306,Y,81,0,0.024691358,0,0.345679012,0.234567901,0.061728395,0.283950617,0.037037037,2248,N,0.036032028,2,0,2,0,0,1,0,52,3,49,0,0.057692308,0.942307692,0,23,4,19,0,0.173913043,0.826086957,0,1873,1108,72,0.064981949,1108,1108,72,0.064981949
ASZ1,1,N,0,0,0,0,0,0,0,0,0,475,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,682,239,84,0.351464435,237,237,82,0.345991561
ATAD1,3,Y,1,0,0,0,0,0,0,1,0,361,N,0.002770083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,429,118,64,0.542372881,116,116,63,0.543103448
ATAD2B,1,N,0,0,0,0,0,0,0,0,0,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1251,541,158,0.292051756,416,416,146,0.350961538
ATAD3A,72,Y,29,0.068965517,0,0.034482759,0.068965517,0.068965517,0,0.724137931,0.034482759,634,N,0.045741325,5,2,2,1,0.4,0.4,0.2,12,1,11,0,0.083333333,0.916666667,0,24,10,8,6,0.416666667,0.333333333,0.25,1788,695,230,0.330935252,406,399,188,0.471177945
ATAD3B,9,N,7,0,0,0,0.428571429,0.571428571,0,0,0,699,N,0.010014306,0,0,0,0,0,0,0,7,2,5,0,0.285714286,0.714285714,0,0,0,0,0,0,0,0,2049,695,302,0.434532374,582,582,279,0.479381443
ATAD3C,1,N,1,0,0,0,1,0,0,0,0,411,N,0.00243309,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,857,276,175,0.634057971,273,273,172,0.63003663
ATAD5,13,N,1,0,0,0,0,1,0,0,0,214,N,0.004672897,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1363,690,66,0.095652174,689,689,66,0.095791001
ATCAY,149,N,8,0,0,0,0,0,0,0.875,0.125,371,N,0.021563342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0.428571429,0.571428571,0,731,140,33,0.235714286,184,184,46,0.25
ATF1,3,N,0,0,0,0,0,0,0,0,0,271,Y,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,355,86,30,0.348837209,105,105,37,0.352380952
ATF2,4,N,1,0,0,0,0,0,0,1,0,505,N,0.001980198,0,0,0,0,0,0,0,2,1,1,0,0.5,0.5,0,1,0,0,1,0,0,1,619,215,77,0.358139535,164,164,68,0.414634146
ATF3,1,N,0,0,0,0,0,0,0,0,0,181,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232,79,22,0.278481013,53,53,11,0.20754717
ATF4,14,N,8,0,0,0,0.75,0.25,0,0,0,351,N,0.022792023,0,0,0,0,0,0,0,8,0,8,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
ATF5,2,N,0,0,0,0,0,0,0,0,0,282,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATF6,155,Y,80,0.0375,0.025,0,0.1,0.0125,0,0.825,0,713,N,0.112201964,5,1,2,2,0.2,0.4,0.4,9,0,9,0,0,1,0,66,2,63,1,0.03030303,0.954545455,0.015151515,881,333,34,0.102102102,330,330,34,0.103030303
ATF6B,2,N,1,0,0,0,0,1,0,0,0,703,N,0.001422475,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,665,265,31,0.116981132,246,246,31,0.12601626
ATF7,1,N,0,0,0,0,0,0,0,0,0,483,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495,160,25,0.15625,176,176,28,0.159090909
ATF7IP,12,N,9,0,0,0,0.555555556,0.444444444,0,0,0,1270,N,0.007086614,0,0,0,0,0,0,0,9,0,9,0,0,1,0,0,0,0,0,0,0,0,1261,528,15,0.028409091,555,555,18,0.032432432
ATF7IP2,1,N,1,0,0,0,0,0,0,1,0,682,N,0.001466276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,877,438,16,0.03652968,343,343,1,0.002915452
ATG101,1,N,0,0,0,0,0,0,0,0,0,218,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATG13,2,N,0,0,0,0,0,0,0,0,0,517,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1031,42,12,0.285714286,203,203,49,0.24137931
ATG16L1,3,N,2,0,0,0,0.5,0,0,0.5,0,607,N,0.003294893,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,1,0,0,1,0,1121,248,58,0.233870968,153,153,41,0.267973856
ATG16L2,1,N,1,0,0,0,1,0,0,0,0,619,N,0.001615509,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1134,70,16,0.228571429,286,286,83,0.29020979
ATG2A,6,N,4,0,0,0,0.75,0,0,0.25,0,1938,N,0.002063983,0,0,0,0,0,0,0,4,0,4,0,0,1,0,1,0,1,0,0,1,0,2705,176,20,0.113636364,1001,1001,129,0.128871129
ATG2B,89,N,10,0,0,0,1,0,0,0,0,261,N,0.038314176,0,0,0,0,0,0,0,10,0,10,0,0,1,0,0,0,0,0,0,0,0,2497,1020,227,0.22254902,542,542,126,0.232472325
ATG4A,4,N,1,0,0,0,1,0,0,0,0,398,N,0.002512563,0,0,0,0,0,0,0,4,1,3,0,0.25,0.75,0,0,0,0,0,0,0,0,286,116,33,0.284482759,63,63,18,0.285714286
ATG4B,1,N,0,0,0,0,0,0,0,0,0,393,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1252,502,114,0.227091633,34,26,7,0.269230769
ATG4D,2,N,0,0,0,0,0,0,0,0,0,474,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1231,379,53,0.139841689,242,242,46,0.190082645
ATG5,6,Y,4,0.25,0,0,0.5,0,0,0.25,0,275,N,0.014545455,1,0,0,1,0,0,1,2,0,2,0,0,1,0,1,1,0,0,1,0,0,311,92,27,0.293478261,82,82,25,0.304878049
ATG7,16,Y,8,0.625,0,0,0.125,0.125,0,0.125,0,703,N,0.011379801,6,2,2,2,0.333333333,0.333333333,0.333333333,3,0,3,0,0,1,0,1,1,0,0,1,0,0,1022,354,118,0.333333333,310,310,117,0.377419355
ATG9A,2,N,0,0,0,0,0,0,0,0,0,839,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,81,32,0.395061728,81,81,32,0.395061728
ATG9B,1,Y,0,0,0,0,0,0,0,0,0,924,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,88,15,0.170454545,66,66,11,0.166666667
ATIC,38,Y,13,0.076923077,0,0,0.538461538,0.076923077,0.153846154,0.153846154,0,592,Y,0.021959459,1,0,0,1,0,0,1,14,4,9,1,0.285714286,0.642857143,0.071428571,2,0,0,2,0,0,1,1184,438,133,0.303652968,358,358,123,0.343575419
ATL1,256,Y,127,0.125984252,0.149606299,0.039370079,0.015748031,0.007874016,0.007874016,0.57480315,0.078740157,558,N,0.227598566,40,14,1,25,0.35,0.025,0.625,4,0,2,2,0,0.5,0.5,73,33,28,12,0.452054795,0.383561644,0.164383562,594,153,64,0.418300654,153,153,64,0.418300654
ATL2,1,N,0,0,0,0,0,0,0,0,0,583,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1069,390,119,0.305128205,250,250,91,0.364
ATL3,199,Y,99,0.02020202,0,0,0.02020202,0.060606061,0,0.898989899,0,541,N,0.182994455,2,0,0,2,0,0,1,9,2,6,1,0.222222222,0.666666667,0.111111111,87,29,35,23,0.333333333,0.402298851,0.264367816,749,32,9,0.28125,255,255,69,0.270588235
ATM,9861,Y,4825,0.000621762,0.004766839,0.004974093,0.001243523,0.003108808,0.00373057,0.933471503,0.047668394,3056,Y,1.578861257,60,20,7,33,0.333333333,0.116666667,0.55,112,15,95,2,0.133928571,0.848214286,0.017857143,4484,1255,2391,838,0.279884032,0.53322926,0.186886708,3925,186,44,0.23655914,1439,1439,397,0.275886032
ATN1,37,Y,15,0.266666667,0.066666667,0.066666667,0,0.066666667,0,0.466666667,0.066666667,1190,N,0.012605042,6,1,0,5,0.166666667,0,0.833333333,1,0,1,0,0,1,0,7,0,4,3,0,0.571428571,0.428571429,985,482,69,0.143153527,522,522,74,0.141762452
ATOH1,6,Y,4,0,0,0,0.75,0,0,0.25,0,426,N,0.009389671,0,0,0,0,0,0,0,3,2,1,0,0.666666667,0.333333333,0,1,0,0,1,0,0,1,367,219,132,0.602739726,218,218,132,0.605504587
ATOH7,57,Y,31,0.064516129,0,0,0.032258065,0,0,0.903225806,0,161,N,0.192546584,2,0,0,2,0,0,1,1,1,0,0,1,0,0,28,11,5,12,0.392857143,0.178571429,0.428571429,122,59,25,0.423728814,59,59,25,0.423728814
ATP10A,55,N,21,0,0,0,0.523809524,0.428571429,0,0.047619048,0,1499,N,0.01400934,0,0,0,0,0,0,0,20,5,14,1,0.25,0.7,0.05,1,0,1,0,0,1,0,2022,882,212,0.240362812,847,847,212,0.250295159
ATP10B,1,N,0,0,0,0,0,0,0,0,0,1461,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2080,855,237,0.277192982,510,510,145,0.284313725
ATP10D,1,N,1,0,0,0,1,0,0,0,0,1426,N,0.000701262,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1549,678,181,0.266961652,672,672,180,0.267857143
ATP11A,33,N,7,0,0,0,0.428571429,0.571428571,0,0,0,1134,N,0.00617284,0,0,0,0,0,0,0,27,5,21,1,0.185185185,0.777777778,0.037037037,0,0,0,0,0,0,0,2133,978,250,0.255623722,599,599,208,0.347245409
ATP11C,8,Y,3,0,0.333333333,0,0.333333333,0.333333333,0,0,0,1132,N,0.002650177,1,0,0,1,0,0,1,3,1,2,0,0.333333333,0.666666667,0,0,0,0,0,0,0,0,1044,345,85,0.246376812,283,283,77,0.272084806
ATP12A,2,N,0,0,0,0,0,0,0,0,0,1039,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1506,555,177,0.318918919,553,553,175,0.316455696
ATP13A1,15,N,5,0,0,0,0.4,0.6,0,0,0,1204,N,0.004152824,0,0,0,0,0,0,0,5,1,4,0,0.2,0.8,0,0,0,0,0,0,0,0,1227,327,114,0.348623853,335,335,130,0.388059701
ATP13A2,440,Y,199,0.030150754,0.005025126,0,0.015075377,0.020100503,0.030150754,0.824120603,0.075376884,1180,N,0.168644068,8,1,2,5,0.125,0.25,0.625,30,2,27,1,0.066666667,0.9,0.033333333,165,51,87,27,0.309090909,0.527272727,0.163636364,1990,773,187,0.241914618,629,629,176,0.279809221
ATP13A3,29,N,0,0,0,0,0,0,0,0,0,1226,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1706,603,165,0.273631841,449,449,132,0.293986637
ATP13A4,16,N,9,0,0,0,0.444444444,0.444444444,0,0.111111111,0,1196,N,0.007525084,0,0,0,0,0,0,0,8,3,5,0,0.375,0.625,0,1,1,0,0,1,0,0,1737,654,212,0.324159021,577,577,195,0.337954939
ATP13A5,2,N,0,0,0,0,0,0,0,0,0,1218,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1731,580,188,0.324137931,576,576,186,0.322916667
ATP1A1,54,Y,15,0.6,0.2,0,0,0,0,0.2,0,1023,Y,0.014662757,12,0,0,12,0,0,1,0,0,0,0,0,0,0,3,2,0,1,0.666666667,0,0.333333333,1225,225,77,0.342222222,171,171,74,0.432748538
ATP1A2,676,Y,259,0.084942085,0.069498069,0.011583012,0,0.023166023,0.007722008,0.745173745,0.057915058,1020,N,0.253921569,46,3,2,41,0.065217391,0.043478261,0.891304348,102,13,88,1,0.12745098,0.862745098,0.009803922,199,72,39,88,0.361809045,0.195979899,0.442211055,1420,493,127,0.257606491,275,275,103,0.374545455
ATP1A3,567,Y,227,0.237885463,0.110132159,0.017621145,0,0.026431718,0.004405286,0.546255507,0.057268722,1013,N,0.224086871,82,2,0,80,0.024390244,0,0.975609756,14,7,6,1,0.5,0.428571429,0.071428571,130,33,23,74,0.253846154,0.176923077,0.569230769,1316,215,70,0.325581395,176,176,73,0.414772727
ATP1A4,7,N,2,0,0,0,1,0,0,0,0,1029,N,0.001943635,0,0,0,0,0,0,0,2,1,0,1,0.5,0,0.5,0,0,0,0,0,0,0,1513,569,150,0.263620387,568,568,149,0.262323944
